         245          6          2                                            
 
Angular distribution:

          eV  Coefficients
  ----------  --------------------------------------------------
  1.000000+4  1.372000-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  5.000000+4  6.603000-3  7.423100-5  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.000000+5  1.245700-2  2.801300-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.100000+5  1.339600-2  3.524300-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.200000+5  1.424700-2  4.297600-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.300000+5  1.491100-2  5.240000-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.400000+5  1.512000-2  7.038700-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.450000+5  1.499300-2  9.579300-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.475000+5  1.516000-2  1.225300-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.500000+5  1.627200-2  1.635400-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.529000+5  1.967700-2  1.983700-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.550000+5  2.200800-2  1.845300-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.575000+5  2.305600-2  1.505600-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.600000+5  2.311400-2  1.250600-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0                                            
  1.650000+5  2.283700-2  1.013300-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.700000+5  2.278700-2  9.371100-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.750000+5  2.294100-2  9.177400-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.800000+5  2.322000-2  9.221200-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  1.900000+5  2.397600-2  9.601900-4  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  2.000000+5  2.486800-2  1.014300-3  0.000000+0  0.000000+0  0.000000+0  0.000000+0
  3.000000+5  3.389700-2  1.946500-3  6.334400-5  0.000000+0  0.000000+0  0.000000+0
  4.000000+5  4.148600-2  3.011600-3  1.281000-4  0.000000+0  0.000000+0  0.000000+0
  5.000000+5  4.780200-2  4.132600-3  2.230800-4  0.000000+0  0.000000+0  0.000000+0
  6.000000+5  5.314500-2  5.274000-3  3.476700-4  0.000000+0  0.000000+0  0.000000+0
  7.000000+5  5.744800-2  6.394900-3  4.974000-4 -5.641100-5  0.000000+0  0.000000+0
  8.000000+5  6.078900-2  7.486100-3  6.650900-4 -1.013500-4  0.000000+0  0.000000+0
  9.000000+5  6.322600-2  8.553600-3  8.401900-4 -1.700600-4  0.000000+0  0.000000+0                      
