         388          2                                            
 
Cross section table:
          eV      barns         eV      barns         eV      barns
  ---------- ---------- ---------- ---------- ---------- ----------
  4.812000+6 0.000000+0 4.850000+6 1.047000-2 4.900000+6 2.879250-2
  4.920000+6 3.664500-2 4.930000+6 4.188000-2 4.940000+6 4.580600-2
  4.950000+6 4.842400-2 4.980000+6 6.151100-2 4.990000+6 6.216600-2
  5.000000+6 6.282000-2 5.001000+6 6.294000-2 5.030000+6 5.965000-2
  5.053000+6 5.697000-2 5.100000+6 5.924000-2 5.120000+6 6.360000-2
  5.150000+6 7.263000-2 5.180000+6 8.145000-2 5.200000+6 8.701000-2
  5.230000+6 9.338000-2 5.280000+6 9.943000-2 5.300000+6 1.009000-1
  5.330000+6 1.126000-1 5.335000+6 1.165000-1 5.340000+6 1.054000-1
  5.360000+6 1.197000-1 5.362000+6 1.275000-1 5.370000+6 1.282000-1
  5.371000+6 1.271000-1 5.378000+6 1.269000-1 5.380000+6 1.257000-1
  5.390000+6 1.250000-1 5.400000+6 1.249000-1 5.410000+6 1.273000-1
  5.420000+6 1.291000-1 5.430000+6 1.290000-1 5.440000+6 1.306000-1
  5.460000+6 1.292000-1 5.500000+6 1.284000-1 5.550000+6 1.284000-1
  5.553000+6 1.291000-1 5.600000+6 1.299000-1 5.650000+6 1.372000-1
  5.700000+6 1.481000-1 5.800000+6 1.689000-1 5.900000+6 1.943000-1
  6.000000+6 2.221000-1 6.050000+6 2.314000-1 6.053000+6 2.323000-1
  6.125000+6 2.424000-1 6.160000+6 2.482000-1 6.174000+6 2.505000-1
  6.180000+6 2.504000-1 6.200000+6 2.468000-1 6.210000+6 2.503000-1
  6.220000+6 2.541000-1 6.230000+6 2.593000-1 6.240000+6 2.662000-1
  6.250000+6 2.652000-1 6.285000+6 3.098000-1 6.295000+6 3.273000-1
  6.303000+6 3.349000-1 6.310000+6 3.480000-1 6.320000+6 3.379000-1
  6.330000+6 3.336000-1 6.340000+6 3.269000-1 6.350000+6 3.346000-1
  6.360000+6 3.756000-1 6.370000+6 3.394000-1 6.390000+6 2.881000-1
  6.400000+6 2.813000-1 6.410000+6 2.693000-1 6.420000+6 2.635000-1
  6.430000+6 2.605000-1 6.440000+6 2.509000-1 6.450000+6 2.451000-1
  6.470000+6 2.311000-1 6.490000+6 2.262000-1 6.510000+6 2.319000-1
  6.540000+6 2.653000-1 6.553000+6 2.629000-1 6.560000+6 2.572000-1
  6.570000+6 2.380000-1 6.580000+6 2.299000-1 6.590000+6 2.372000-1
  6.600000+6 2.228000-1 6.620000+6 2.039000-1 6.640000+6 1.709000-1
  6.658000+6 1.979000-1 6.665000+6 1.796000-1 6.670000+6 1.779000-1
  6.680000+6 1.804000-1 6.700000+6 1.800000-1 6.750000+6 1.648000-1
  6.810000+6 1.511000-1 6.920000+6 1.628000-1 7.000000+6 1.703000-1
  7.053000+6 1.754000-1 7.100000+6 1.786000-1 7.140000+6 1.842000-1
  7.180000+6 1.940000-1 7.200000+6 2.027000-1 7.220000+6 2.067000-1
  7.225000+6 2.082000-1 7.250000+6 2.254000-1 7.270000+6 2.409000-1
  7.280000+6 2.485000-1 7.340000+6 3.014000-1 7.350000+6 3.131000-1
  7.360000+6 3.181000-1 7.370000+6 3.273000-1 7.400000+6 3.441000-1
  7.420000+6 3.452000-1 7.470000+6 3.463000-1 7.529000+6 3.258000-1
  7.542000+6 3.186000-1 7.553000+6 3.153000-1 7.594000+6 3.024000-1
  7.620000+6 3.012000-1 7.650000+6 3.011000-1 7.667000+6 3.019000-1
  7.680000+6 3.016000-1 7.698000+6 3.057000-1 7.700000+6 3.054000-1
  7.725000+6 3.230000-1 7.745000+6 3.312000-1 7.750000+6 3.308000-1
  7.770000+6 3.399000-1 7.789000+6 3.452000-1 7.810000+6 3.542000-1
  7.819000+6 3.554000-1 7.860000+6 3.497000-1 7.886400+6 3.449000-1
  7.888000+6 3.429000-1 7.897000+6 3.423000-1 7.930000+6 3.490000-1
  7.936000+6 3.501000-1 8.000000+6 3.734000-1 8.005000+6 3.800000-1
  8.010000+6 3.820000-1 8.014000+6 3.911000-1 8.044000+6 4.220000-1
  8.053000+6 4.294000-1 8.079000+6 4.443000-1 8.080000+6 4.437000-1
  8.100000+6 4.555000-1 8.101000+6 4.585000-1 8.105000+6 4.581000-1
  8.109000+6 4.569000-1 8.120000+6 4.593000-1 8.131000+6 4.592000-1
  8.138000+6 4.601000-1 8.160000+6 4.585000-1 8.166000+6 4.554000-1
  8.200000+6 4.520000-1 8.210000+6 4.326000-1 8.218000+6 4.231000-1
  8.240000+6 3.957000-1 8.280000+6 3.450000-1 8.295800+6 3.256000-1
  8.296200+6 3.246000-1 8.320000+6 3.054000-1 8.330000+6 2.988000-1
  8.391000+6 2.688000-1 8.400000+6 2.643000-1 8.426000+6 2.608000-1
  8.448000+6 2.590000-1 8.450000+6 2.569000-1 8.480000+6 2.573000-1
  8.499500+6 2.546000-1 8.500000+6 2.537000-1 8.520000+6 2.552000-1
  8.553000+6 2.576000-1 8.600000+6 2.572000-1 8.611000+6 2.564000-1
  8.664000+6 2.481000-1 8.700000+6 2.474000-1 8.708000+6 2.487000-1
  8.750000+6 2.596000-1 8.768000+6 2.651000-1 8.800000+6 2.739000-1
  8.833000+6 2.813000-1 8.850000+6 2.844000-1 8.885000+6 2.940000-1
  8.920000+6 2.986000-1 8.940000+6 3.055000-1 8.980000+6 3.085000-1
  9.000000+6 2.977000-1 9.005000+6 2.994000-1 9.020000+6 2.981000-1
  9.030000+6 2.986000-1 9.045000+6 2.981000-1 9.053000+6 2.998000-1
  9.067000+6 2.987000-1 9.080000+6 3.004000-1 9.149000+6 3.013000-1
  9.163000+6 3.024000-1 9.180000+6 3.009000-1 9.219000+6 3.011000-1
  9.250000+6 3.035000-1 9.254000+6 3.052000-1 9.300000+6 3.079000-1
  9.360000+6 3.119000-1 9.400000+6 3.134000-1 9.450000+6 3.176000-1
  9.500000+6 3.233000-1 9.522000+6 3.309000-1 9.553000+6 3.401000-1
  9.560000+6 3.437000-1 9.590000+6 3.417000-1 9.600000+6 3.409000-1
  9.630000+6 3.402000-1 9.640000+6 3.410000-1 9.678000+6 3.375000-1
  9.680000+6 3.371000-1 9.692000+6 3.360000-1 9.700000+6 3.361000-1
  9.726000+6 3.309000-1 9.740000+6 3.320000-1 9.750000+6 3.294000-1
  9.800000+6 3.351000-1 9.821000+6 3.296000-1 9.830000+6 3.286000-1
  9.868000+6 3.204000-1 9.900000+6 3.160000-1 9.917000+6 3.153000-1
  9.921000+6 3.137000-1 1.000000+7 3.237000-1 1.005000+7 3.166000-1
  1.005300+7 3.150000-1 1.017000+7 3.057000-1 1.025000+7 3.023000-1
  1.030000+7 3.056000-1 1.037200+7 3.135000-1 1.040000+7 3.177000-1
  1.044800+7 3.258000-1 1.047800+7 3.307000-1 1.050000+7 3.348000-1
  1.050600+7 3.356000-1 1.053600+7 3.415000-1 1.055000+7 3.430000-1
  1.055300+7 3.450000-1 1.062000+7 3.586000-1 1.069000+7 3.741000-1
  1.070000+7 3.726000-1 1.075000+7 3.700000-1 1.080000+7 3.655000-1
  1.083000+7 3.637000-1 1.090000+7 3.587000-1 1.094000+7 3.546000-1
  1.100000+7 3.677000-1 1.100400+7 3.658000-1 1.105300+7 3.550000-1
  1.109600+7 3.436000-1 1.110000+7 3.432000-1 1.116600+7 3.289000-1
  1.117000+7 3.281000-1 1.125000+7 3.172000-1 1.130000+7 3.106000-1
  1.140000+7 2.981000-1 1.150000+7 2.862000-1 1.155300+7 2.829000-1
  1.170800+7 2.747000-1 1.175000+7 2.727000-1 1.175100+7 2.721000-1
  1.180000+7 2.685000-1 1.182800+7 2.673000-1 1.190000+7 2.643000-1
  1.190900+7 2.631000-1 1.191700+7 2.636000-1 1.200000+7 2.656000-1
  1.205000+7 2.649000-1 1.205300+7 2.656000-1 1.208800+7 2.625000-1
  1.210000+7 2.619000-1 1.219600+7 2.461000-1 1.222400+7 2.426000-1
  1.225000+7 2.399000-1 1.230000+7 2.337000-1 1.240000+7 2.249000-1
  1.250000+7 2.173000-1 1.255300+7 2.200000-1 1.259900+7 2.221000-1
  1.270000+7 2.273000-1 1.273800+7 2.281000-1 1.279200+7 2.323000-1
  1.290000+7 2.358000-1 1.299000+7 2.350000-1 1.300000+7 2.330000-1
  1.305300+7 2.320000-1 1.310000+7 2.319000-1 1.312000+7 2.318000-1
  1.325000+7 2.296000-1 1.328000+7 2.274000-1 1.330000+7 2.276000-1
  1.350000+7 2.259000-1 1.354000+7 2.277000-1 1.355300+7 2.278000-1
  1.358700+7 2.285000-1 1.364600+7 2.264000-1 1.370000+7 2.258000-1
  1.376700+7 2.246000-1 1.382200+7 2.207000-1 1.383000+7 2.208000-1
  1.396500+7 2.174000-1 1.400000+7 2.106000-1 1.405300+7 2.104000-1
  1.418200+7 2.101000-1 1.425000+7 2.083000-1 1.436400+7 2.015000-1
  1.441900+7 1.977000-1 1.447200+7 1.834000-1 1.455300+7 1.851000-1
  1.456600+7 1.849000-1 1.465300+7 1.870000-1 1.469400+7 1.885000-1
  1.475000+7 1.847000-1 1.476700+7 1.829000-1 1.480700+7 1.798000-1
  1.481200+7 1.796000-1 1.483700+7 1.776000-1 1.486300+7 1.757000-1
  1.488800+7 1.737000-1 1.489200+7 1.740000-1 1.490600+7 1.730000-1
  1.490900+7 1.729000-1 1.492700+7 1.712000-1 1.495400+7 1.705000-1
  1.496200+7 1.704000-1 1.499600+7 1.707000-1 1.500000+7 1.700000-1
  1.500600+7 1.703000-1 1.504500+7 1.718000-1 1.505300+7 1.725000-1
  1.509300+7 1.741000-1 1.524800+7 1.655000-1 1.526300+7 1.653000-1
  1.544800+7 1.570000-1 1.547700+7 1.563000-1 1.555300+7 1.538000-1
