         177          2                                            
 
Cross section table:
          eV      barns         eV      barns         eV      barns
  ---------- ---------- ---------- ---------- ---------- ----------
  1.000000-5 3.395000+0 1.000000-4 3.395000+0 2.530000-2 3.395004+0
  1.000000+2 3.395002+0 1.000000+3 3.394898+0 2.000000+3 3.394798+0
  3.000000+3 3.394399+0 4.000000+3 3.389399+0 5.000000+3 3.384999+0
  1.000000+4 3.366999+0 2.000000+4 3.341999+0 3.000000+4 3.320999+0
  4.000000+4 3.301999+0 5.000000+4 3.284999+0 6.000000+4 3.269998+0
  7.000000+4 3.255998+0 8.000000+4 3.242998+0 9.000000+4 3.230998+0
  1.000000+5 3.219998+0 1.200000+5 3.198637+0 1.400000+5 3.177998+0
  1.600000+5 3.158635+0 1.800000+5 3.140083+0 2.000000+5 3.121997+0
  2.250000+5 3.100832+0 2.500000+5 3.081997+0 2.750000+5 3.065149+0
  3.000000+5 3.049997+0 3.500000+5 3.027601+0 4.000000+5 3.011996+0
  4.500000+5 3.000068+0 5.000000+5 2.988996+0 5.500000+5 2.977202+0
  6.000000+5 2.965995+0 6.500000+5 2.955381+0 7.000000+5 2.944995+0
  7.500000+5 2.933810+0 8.000000+5 2.921995+0 8.500000+5 2.909993+0
  9.000000+5 2.897994+0 9.500000+5 2.885445+0 1.000000+6 2.872494+0
  1.200000+6 2.817782+0 1.500000+6 2.729993+0 1.750000+6 2.640594+0
  1.950000+6 2.559956+0 2.000000+6 2.539992+0 2.250000+6 2.441128+0
  2.450000+6 2.363892+0 2.500000+6 2.344992+0 2.750000+6 2.253762+0
  3.000000+6 2.159991+0 3.270000+6 2.057471+0 3.339000+6 2.032590+0
  3.400000+6 2.009937+0 3.500000+6 1.974245+0 3.750000+6 1.891895+0
  4.000000+6 1.817490+0 4.250000+6 1.752646+0 4.500000+6 1.693122+0
  5.000000+6 1.584989+0 5.500000+6 1.487528+0 5.600000+6 1.469176+0
  6.000000+6 1.399789+0 6.500000+6 1.320719+0 7.000000+6 1.247988+0
  7.250000+6 1.213343+0 7.500000+6 1.179659+0 7.850000+6 1.135159+0
  8.000000+6 1.117288+0 8.500000+6 1.064233+0 9.000000+6 1.014989+0
  9.500000+6 9.647619-1 9.700000+6 9.449282-1 1.000000+7 9.159888-1
  1.050000+7 8.710410-1 1.100000+7 8.297105-1 1.150000+7 7.919975-1
  1.175000+7 7.742863-1 1.200000+7 7.572065-1 1.217000+7 7.457486-1
  1.225000+7 7.403601-1 1.250000+7 7.237674-1 1.300000+7 6.931467-1
  1.350000+7 6.672474-1 1.400000+7 6.435662-1 1.410000+7 6.388815-1
  1.417000+7 6.356440-1 1.450000+7 6.206731-1 1.500000+7 5.989348-1
  1.550000+7 5.771579-1 1.600000+7 5.572370-1 1.650000+7 5.399391-1
  1.700000+7 5.238216-1 1.750000+7 5.087820-1 1.800000+7 4.942307-1
  1.850000+7 4.794774-1 1.900000+7 4.653079-1 1.950000+7 4.522771-1
  2.000000+7 4.400137-1 2.100000+7 4.160124-1 2.200000+7 3.934303-1
  2.300000+7 3.723207-1 2.400000+7 3.526888-1 2.500000+7 3.335865-1
  2.600000+7 3.159127-1 2.700000+7 2.996064-1 2.800000+7 2.845967-1
  2.900000+7 2.708089-1 3.000000+7 2.581657-1 3.100000+7 2.465953-1
  3.200000+7 2.359522-1 3.300000+7 2.260744-1 3.400000+7 2.168285-1
  3.500000+7 2.081049-1 3.600000+7 2.004625-1 3.700000+7 1.931496-1
  3.800000+7 1.861076-1 3.900000+7 1.792892-1 4.000000+7 1.726549-1
  4.200000+7 1.602692-1 4.400000+7 1.491296-1 4.600000+7 1.389937-1
  4.630000+7 1.375498-1 4.800000+7 1.296743-1 5.000000+7 1.210233-1
  5.200000+7 1.129642-1 5.300000+7 1.091637-1 5.400000+7 1.055122-1
  5.600000+7 9.860264-2 5.800000+7 9.212536-2 6.000000+7 8.603488-2
  6.200000+7 8.032726-2 6.400000+7 7.500505-2 6.600000+7 7.003791-2
  6.800000+7 6.539796-2 7.000000+7 6.105974-2 7.200000+7 5.699962-2
  7.400000+7 5.319605-2 7.600000+7 4.962938-2 7.800000+7 4.628135-2
  8.000000+7 4.313553-2 8.200000+7 4.028305-2 8.400000+7 3.777872-2
  8.600000+7 3.556128-2 8.800000+7 3.358036-2 9.000000+7 3.179334-2
  9.200000+7 3.016481-2 9.400000+7 2.866481-2 9.600000+7 2.726798-2
  9.800000+7 2.595276-2 1.000000+8 2.470100-2 1.020000+8 2.351319-2
  1.040000+8 2.237458-2 1.060000+8 2.129311-2 1.080000+8 2.027464-2
  1.100000+8 1.932354-2 1.120000+8 1.844278-2 1.140000+8 1.763428-2
  1.160000+8 1.689906-2 1.180000+8 1.623746-2 1.200000+8 1.564889-2
  1.220000+8 1.511739-2 1.240000+8 1.462773-2 1.260000+8 1.417108-2
  1.280000+8 1.373963-2 1.290000+8 1.353117-2 1.300000+8 1.332650-2
  1.320000+8 1.293191-2 1.340000+8 1.255807-2 1.360000+8 1.220204-2
  1.380000+8 1.186114-2 1.400000+8 1.153298-2 1.420000+8 1.121798-2
  1.440000+8 1.092749-2 1.460000+8 1.066369-2 1.480000+8 1.042698-2
