        199          2   
                                                 
Cross section table:
         eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 1.664900+0 2.530000-2 1.664900+0 1.000000+0 1.664900+0
 1.000000+1 1.664900+0 1.000000+2 1.664900+0 1.000000+3 1.664600+0
 5.000000+3 1.663500+0 1.000000+4 1.662000+0 2.000000+4 1.659200+0
 3.000000+4 1.656500+0 4.000000+4 1.653800+0 5.000000+4 1.651100+0
 6.000000+4 1.648500+0 7.000000+4 1.646000+0 8.000000+4 1.643500+0
 9.000000+4 1.641000+0 1.000000+5 1.638600+0 1.200000+5 1.634000+0
 1.400000+5 1.629600+0 1.600000+5 1.625400+0 1.800000+5 1.621400+0
 2.000000+5 1.617600+0 2.200000+5 1.614000+0 2.400000+5 1.610700+0
 2.600000+5 1.607500+0 2.800000+5 1.604600+0 3.000000+5 1.602000+0
 3.200000+5 1.599500+0 3.400000+5 1.597300+0 3.600000+5 1.595300+0
 3.800000+5 1.593500+0 4.000000+5 1.591900+0 4.200000+5 1.590600+0
 4.400000+5 1.589500+0 4.600000+5 1.588700+0 4.800000+5 1.588000+0
 5.000000+5 1.587600+0 5.200000+5 1.587500+0 5.400000+5 1.587500+0
 5.600000+5 1.587900+0 5.800000+5 1.588400+0 6.000000+5 1.589200+0
 6.200000+5 1.590200+0 6.400000+5 1.591400+0 6.600000+5 1.592900+0
 6.800000+5 1.594600+0 7.000000+5 1.596500+0 7.500000+5 1.602400+0
 8.000000+5 1.609700+0 8.500000+5 1.618400+0 9.000000+5 1.628500+0
 9.500000+5 1.640000+0 1.000000+6 1.652800+0 1.100000+6 1.682300+0
 1.200000+6 1.716400+0 1.300000+6 1.754800+0 1.400000+6 1.796900+0
 1.500000+6 1.841900+0 1.600000+6 1.889200+0 1.700000+6 1.938000+0
 1.800000+6 1.987500+0 1.900000+6 2.036900+0 2.000000+6 2.085600+0
 2.100000+6 2.132800+0 2.200000+6 2.177900+0 2.300000+6 2.220300+0
 2.400000+6 2.259700+0 2.500000+6 2.295600+0 2.600000+6 2.327900+0
 2.700000+6 2.356300+0 2.800000+6 2.380700+0 2.900000+6 2.401200+0
 3.000000+6 2.417900+0 3.100000+6 2.430800+0 3.200000+6 2.440000+0
 3.300000+6 2.445900+0 3.400000+6 2.448500+0 3.500000+6 2.448200+0
 3.600000+6 2.445100+0 3.700000+6 2.439500+0 3.800000+6 2.431600+0
 3.900000+6 2.421600+0 4.000000+6 2.409800+0 4.100000+6 2.396300+0
 4.200000+6 2.381400+0 4.300000+6 2.365200+0 4.400000+6 2.347800+0
 4.500000+6 2.329500+0 4.600000+6 2.310400+0 4.700000+6 2.290600+0
 4.800000+6 2.270200+0 4.900000+6 2.249300+0 5.000000+6 2.228000+0
 5.200000+6 2.184600+0 5.400000+6 2.140400+0 5.600000+6 2.096100+0
 5.800000+6 2.051900+0 6.000000+6 2.008000+0 6.200000+6 1.964800+0
 6.400000+6 1.922300+0 6.600000+6 1.880700+0 6.800000+6 1.840000+0
 7.000000+6 1.800300+0 7.200000+6 1.761700+0 7.400000+6 1.724100+0
 7.600000+6 1.687600+0 7.800000+6 1.652100+0 8.000000+6 1.617700+0
 8.200000+6 1.584200+0 8.350000+6 1.559900+0 8.380000+6 1.556000+0
 8.381250+6 1.555900+0 8.382421+6 1.555800+0 8.383521+6 1.555600+0
 8.384551+6 1.555500+0 8.386481+6 1.555300+0 8.388171+6 1.555200+0
 8.389640+6 1.555000+0 8.390941+6 1.554900+0 8.392071+6 1.554800+0
 8.393062+6 1.554700+0 8.394800+6 1.554600+0 8.396101+6 1.554500+0
 8.398050+6 1.554400+0 8.400001+6 1.554300+0 8.400001+6 1.554300+0
 8.406221+6 1.553500+0 8.412051+6 1.552700+0 8.417521+6 1.552000+0
 8.422651+6 1.551300+0 8.427461+6 1.550700+0 8.436501+6 1.549600+0
 8.444411+6 1.548600+0 8.451340+6 1.547800+0 8.457400+6 1.547100+0
 8.462722+6 1.546500+0 8.472021+6 1.545400+0 8.479011+6 1.544700+0
 8.484250+6 1.544100+0 8.492121+6 1.543300+0 8.500000+6 1.542500+0
 8.512442+6 1.541100+0 8.523332+6 1.539800+0 8.532882+6 1.538700+0
 8.541241+6 1.537800+0 8.555890+6 1.536200+0 8.566901+6 1.535000+0
 8.575161+6 1.534200+0 8.587570+6 1.533000+0 8.600000+6 1.531800+0
 8.637261+6 1.527200+0 8.665311+6 1.523800+0 8.686400+6 1.521300+0
 8.718140+6 1.517600+0 8.750000+6 1.514000+0 8.780871+6 1.510100+0
 8.800000+6 1.507700+0 8.835140+6 1.503500+0 8.876071+6 1.498600+0
 8.937820+6 1.491500+0 9.000000+6 1.484400+0 9.061861+6 1.477100+0
 9.108531+6 1.471700+0 9.178991+6 1.463600+0 9.200000+6 1.461200+0
 9.250000+6 1.455800+0 9.374171+6 1.440800+0 9.400001+6 1.437700+0
 9.500000+6 1.426000+0 9.600000+6 1.414200+0 9.622611+6 1.411600+0
 9.800000+6 1.391600+0 9.809490+6 1.390600+0 1.000000+7 1.370000+0
 1.025000+7 1.342900+0 1.050000+7 1.314800+0 1.075000+7 1.288000+0
 1.100000+7 1.260900+0 1.130000+7 1.229900+0 1.150000+7 1.209100+0
 1.200000+7 1.159800+0 1.250000+7 1.113600+0 1.300000+7 1.070000+0
 1.350000+7 1.029100+0 1.400000+7 9.903100-1 1.410000+7 9.828700-1
 1.450000+7 9.534101-1 1.500000+7 9.184500-1 1.550000+7 8.860600-1
 1.600000+7 8.534700-1 1.673320+7 8.097700-1 1.700000+7 7.939400-1
 1.750000+7 7.665700-1 1.795680+7 7.414100-1 1.800000+7 7.390400-1
 1.866450+7 7.050200-1 1.900000+7 6.879300-1 1.940000+7 6.687100-1
 2.000000+7 6.396100-1      
