         812          2                                            
 
Cross section table:
          eV      barns         eV      barns         eV      barns
  ---------- ---------- ---------- ---------- ---------- ----------
  4.500000+5 3.508200+0 4.750000+5 3.455100+0 5.000000+5 3.403300+0
  5.250000+5 3.352700+0 5.500000+5 3.303200+0 5.750000+5 3.254900+0
  6.000000+5 3.207600+0 6.250000+5 3.161500+0 6.500000+5 3.116300+0
  6.750000+5 3.072200+0 7.000000+5 3.029000+0 7.250000+5 2.986800+0
  7.500000+5 2.945400+0 7.750000+5 2.905000+0 8.000000+5 2.865400+0
  8.250000+5 2.826700+0 8.500000+5 2.788800+0 8.750000+5 2.751700+0
  9.000000+5 2.715400+0 9.250000+5 2.679800+0 9.500000+5 2.645000+0
  9.750000+5 2.610800+0 1.000000+6 2.577400+0 1.025000+6 2.544600+0
  1.050000+6 2.512500+0 1.053000+6 2.508700+0 1.075000+6 2.481100+0
  1.100000+6 2.450300+0 1.125000+6 2.420100+0 1.150000+6 2.390500+0
  1.175000+6 2.361500+0 1.200000+6 2.333100+0 1.225000+6 2.305200+0
  1.250000+6 2.277900+0 1.275000+6 2.251100+0 1.300000+6 2.224900+0
  1.325000+6 2.199100+0 1.350000+6 2.173900+0 1.375000+6 2.149200+0
  1.400000+6 2.125000+0 1.425000+6 2.101200+0 1.450000+6 2.078000+0
  1.475000+6 2.055200+0 1.500000+6 2.032800+0 1.525000+6 2.010500+0
  1.550000+6 1.988800+0 1.553000+6 1.986200+0 1.575000+6 1.967400+0
  1.600000+6 1.946500+0 1.625000+6 1.925900+0 1.650000+6 1.905900+0
  1.675000+6 1.885800+0 1.680000+6 1.881900+0 1.700000+6 1.865500+0
  1.710000+6 1.857400+0 1.715000+6 1.853700+0 1.720000+6 1.850700+0
  1.725000+6 1.850100+0 1.730000+6 1.854700+0 1.732000+6 1.858300+0
  1.734000+6 1.861600+0 1.736000+6 1.862500+0 1.738000+6 1.859800+0
  1.740000+6 1.854400+0 1.745000+6 1.840800+0 1.750000+6 1.832700+0
  1.755000+6 1.828000+0 1.760000+6 1.824400+0 1.770000+6 1.818000+0
  1.775000+6 1.814700+0 1.780000+6 1.811500+0 1.790000+6 1.804800+0
  1.800000+6 1.798000+0 1.820000+6 1.784400+0 1.825000+6 1.781000+0
  1.850000+6 1.764400+0 1.875000+6 1.748000+0 1.900000+6 1.731890+0
  1.925000+6 1.716090+0 1.950000+6 1.700590+0 1.975000+6 1.685190+0
  1.983000+6 1.680690+0 1.991000+6 1.675490+0 2.000000+6 1.670390+0
  2.025000+6 1.659090+0 2.050000+6 1.684890+0 2.052000+6 1.695090+0
  2.053000+6 1.701990+0 2.054000+6 1.708890+0 2.056000+6 1.727790+0
  2.058000+6 1.754190+0 2.060000+6 1.791790+0 2.061000+6 1.816490+0
  2.062000+6 1.846690+0 2.063000+6 1.883590+0 2.064000+6 1.929390+0
  2.065000+6 1.986790+0 2.066000+6 2.059490+0 2.067000+6 2.152490+0
  2.068000+6 2.273590+0 2.069000+6 2.432790+0 2.070000+6 2.644890+0
  2.071000+6 2.929690+0 2.072000+6 3.312190+0 2.073000+6 3.817590+0
  2.074000+6 4.451090+0 2.075000+6 5.156490+0 2.076000+6 5.766390+0
  2.077000+6 6.043490+0 2.078000+6 5.871890+0 2.079000+6 5.372790+0
  2.080000+6 4.765390+0 2.081000+6 4.198890+0 2.082000+6 3.728190+0
  2.083000+6 3.355890+0 2.084000+6 3.065790+0 2.085000+6 2.839890+0
  2.086000+6 2.662590+0 2.087000+6 2.521790+0 2.088000+6 2.408490+0
  2.089000+6 2.316590+0 2.090000+6 2.240690+0 2.091000+6 2.177590+0
  2.092000+6 2.124490+0 2.093000+6 2.079390+0 2.094000+6 2.040690+0
  2.095000+6 2.007290+0 2.096000+6 1.978290+0 2.097000+6 1.952790+0
  2.098000+6 1.930290+0 2.099000+6 1.910390+0 2.100000+6 1.892590+0
  2.102000+6 1.862390+0 2.104000+6 1.837590+0 2.106000+6 1.816990+0
  2.108000+6 1.799590+0 2.110000+6 1.784790+0 2.112000+6 1.772090+0
  2.114000+6 1.760890+0 2.116000+6 1.751090+0 2.118000+6 1.742390+0
  2.120000+6 1.734690+0 2.140000+6 1.686290+0 2.160000+6 1.661090+0
  2.180000+6 1.644490+0 2.200000+6 1.631990+0 2.220000+6 1.621890+0
  2.240000+6 1.613590+0 2.260000+6 1.606490+0 2.280000+6 1.600390+0
  2.300000+6 1.595290+0 2.320000+6 1.591090+0 2.340000+6 1.587790+0
  2.360000+6 1.585290+0 2.380000+6 1.583690+0 2.400000+6 1.582890+0
  2.420000+6 1.583090+0 2.440000+6 1.584290+0 2.460000+6 1.586590+0
  2.480000+6 1.589890+0 2.500000+6 1.594490+0 2.520000+6 1.600390+0
  2.540000+6 1.607690+0 2.553000+6 1.613390+0 2.560000+6 1.616490+0
  2.580000+6 1.626990+0 2.600000+6 1.639490+0 2.620000+6 1.653990+0
  2.640000+6 1.670890+0 2.660000+6 1.690490+0 2.680000+6 1.713190+0
  2.700000+6 1.739590+0 2.720000+6 1.770190+0 2.740000+6 1.805890+0
  2.760000+6 1.847790+0 2.780000+6 1.897890+0 2.785000+6 1.911990+0
  2.790000+6 1.926990+0 2.795000+6 1.943090+0 2.800000+6 1.961090+0
  2.802000+6 1.969290+0 2.804000+6 1.978590+0 2.806000+6 1.990290+0
  2.808000+6 2.006990+0 2.810000+6 2.038890+0 2.811000+6 2.071790+0
  2.812000+6 2.139990+0 2.813000+6 2.327990+0 2.814000+6 3.160490+0
  2.815000+6 5.070890+0 2.816000+6 2.776190+0 2.817000+6 2.289490+0
  2.818000+6 2.158890+0 2.819000+6 2.108990+0 2.820000+6 2.086290+0
  2.822000+6 2.069690+0 2.824000+6 2.067290+0 2.826000+6 2.070190+0
  2.828000+6 2.075590+0 2.830000+6 2.082490+0 2.835000+6 2.102890+0
  2.840000+6 2.126490+0 2.845000+6 2.152190+0 2.850000+6 2.180090+0
  2.855000+6 2.210190+0 2.860000+6 2.242490+0 2.865000+6 2.277390+0
  2.870000+6 2.314890+0 2.875000+6 2.355490+0 2.880000+6 2.399390+0
  2.885000+6 2.446990+0 2.890000+6 2.498690+0 2.895000+6 2.554790+0
  2.900000+6 2.615690+0 2.905000+6 2.681790+0 2.910000+6 2.753190+0
  2.915000+6 2.829590+0 2.920000+6 2.910290+0 2.924000+6 2.976790+0
  2.928000+6 3.043190+0 2.932000+6 3.106690+0 2.936000+6 3.163290+0
  2.940000+6 3.206990+0 2.944000+6 3.229690+0 2.948000+6 3.221190+0
  2.952000+6 3.170690+0 2.956000+6 3.068590+0 2.960000+6 2.910590+0
  2.964000+6 2.701290+0 2.968000+6 2.455690+0 2.972000+6 2.195990+0
  2.976000+6 1.945790+0 2.980000+6 1.723490+0 2.984000+6 1.539490+0
  2.988000+6 1.396190+0 2.992000+6 1.290790+0 2.996000+6 1.217590+0
  3.000000+6 1.170390+0 3.010000+6 1.129490+0 3.020000+6 1.150290+0
  3.030000+6 1.197590+0 3.040000+6 1.254690+0 3.050000+6 1.313990+0
  3.053000+6 1.331590+0 3.060000+6 1.372490+0 3.080000+6 1.482490+0
  3.100000+6 1.582590+0 3.120000+6 1.674390+0 3.140000+6 1.759880+0
  3.160000+6 1.840380+0 3.180000+6 1.917080+0 3.200000+6 1.990380+0
  3.220000+6 2.060880+0 3.240000+6 2.128480+0 3.260000+6 2.193180+0
  3.280000+6 2.254880+0 3.300000+6 2.313180+0 3.320000+6 2.367780+0
  3.340000+6 2.418280+0 3.360000+6 2.464380+0 3.380000+6 2.505780+0
  3.400000+6 2.541980+0 3.420000+6 2.572880+0 3.440000+6 2.598380+0
  3.460000+6 2.618180+0 3.480000+6 2.632380+0 3.500000+6 2.640980+0
  3.520000+6 2.644180+0 3.540000+6 2.642180+0 3.553000+6 2.637680+0
  3.560000+6 2.635280+0 3.580000+6 2.623780+0 3.600000+6 2.608080+0
  3.620000+6 2.588480+0 3.640000+6 2.565380+0 3.660000+6 2.539280+0
  3.680000+6 2.510480+0 3.700000+6 2.479480+0 3.720000+6 2.446480+0
  3.740000+6 2.411980+0 3.760000+6 2.376180+0 3.780000+6 2.339380+0
  3.800000+6 2.301880+0 3.820000+6 2.263880+0 3.840000+6 2.225680+0
  3.860000+6 2.187380+0 3.880000+6 2.149080+0 3.900000+6 2.111180+0
  3.920000+6 2.073580+0 3.940000+6 2.036680+0 3.960000+6 2.000680+0
  3.980000+6 1.965680+0 4.000000+6 1.932080+0 4.010000+6 1.915980+0
  4.020000+6 1.900380+0 4.030000+6 1.885480+0 4.040000+6 1.871380+0
  4.050000+6 1.858080+0 4.053000+6 1.854480+0 4.060000+6 1.845880+0
  4.070000+6 1.834980+0 4.080000+6 1.825480+0 4.090000+6 1.817980+0
  4.100000+6 1.812580+0 4.110000+6 1.809780+0 4.120000+6 1.810280+0
  4.130000+6 1.814480+0 4.140000+6 1.823280+0 4.150000+6 1.837180+0
  4.160000+6 1.857180+0 4.170000+6 1.883880+0 4.180000+6 1.917480+0
  4.190000+6 1.957880+0 4.200000+6 2.004280+0 4.210000+6 2.054880+0
  4.220000+6 2.106580+0 4.230000+6 2.155880+0 4.240000+6 2.198780+0
  4.250000+6 2.231880+0 4.260000+6 2.252780+0 4.270000+6 2.260880+0
  4.280000+6 2.256780+0 4.290000+6 2.242180+0 4.300000+6 2.219480+0
  4.310000+6 2.190880+0 4.320000+6 2.158480+0 4.330000+6 2.123980+0
  4.340000+6 2.088580+0 4.350000+6 2.053380+0 4.360000+6 2.018880+0
  4.370000+6 1.985380+0 4.380000+6 1.953280+0 4.390000+6 1.922580+0
  4.400000+6 1.893280+0 4.420000+6 1.838980+0 4.440000+6 1.789880+0
  4.460000+6 1.745380+0 4.480000+6 1.704880+0 4.500000+6 1.667680+0
