         24          2                                            
Cross section table:
         eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.748830+6 0.000000+0 1.800000+6 1.000000-4 1.900000+6 8.667000-4
 2.000000+6 2.200000-3 2.100000+6 4.400000-3 2.200000+6 8.000000-3
 2.700000+6 3.300000-2 2.900000+6 2.700000-1 3.100000+6 3.700000-1
 3.300000+6 4.270000-1 3.500000+6 4.680000-1 3.900000+6 5.100000-1
 4.300000+6 5.270000-1 4.800000+6 5.400000-1 5.400000+6 5.500000-1
 5.900000+6 5.570000-1 6.450000+6 5.580000-1 7.000000+6 5.590000-1
 9.000000+6 5.470000-1 1.070000+7 5.300000-1 1.310000+7 5.000000-1
 1.600000+7 4.550000-1 1.800000+7 4.180000-1 2.000000+7 3.750000-1
