         80          10         2                                            

Angular distribution:

         eV  Coefficients
 ----------  --------------------------------------------------                  
 1.000000+5 -3.745320-3 4.494380-3-8.025680-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.200000+5  3.787880-3 0.000000+0 1.623380-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.550000+5  2.469140-2 2.469140-3-1.763670-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.070000+5  1.731600-2-2.597400-3-3.710580-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.550000+5  4.225350-2 3.943660-3-2.816900-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.060000+5  2.941180-2-5.882350-3 5.042020-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.500000+5  3.125000-2-3.125000-3-2.232140-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 4.070000+5  2.150540-2-4.516130-3-3.225810-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 4.320000+5  3.278690-2-9.836070-3-3.278690-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 4.500000+5  3.444440-2-2.000000-2-4.761900-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 5.080000+5  3.742690-2-7.017540-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 5.500000+5  3.508770-2-2.807020-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 5.700000+5  2.873560-2-3.103450-2 2.463050-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 5.900000+5  2.923980-2-3.157890-2 2.506270-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.000000+5  3.763440-2-1.290320-2-2.304150-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.100000+5  2.631580-2 1.973680-2 1.879700-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.200000+5  2.173910-2 9.347830-2 1.086960-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.300000+5  2.139040-2 1.518720-1 7.639420-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.400000+5  3.658540-2 1.585370-1 2.142860-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.500000+5  3.755870-2 1.352110-1 8.048290-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.750000+5  5.357140-2 7.142860-2 1.020410-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 7.700000+5  6.289310-2 2.641510-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 7.800000+5  6.410260-2 2.307690-2 2.747250-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 7.900000+5  6.289310-2 1.886790-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.000000+5  5.660370-2 1.509430-2 5.390840-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.050000+5  4.597700-2 2.413790-2 4.926110-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.100000+5  7.909600-2 2.711860-2 7.263920-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.150000+5  1.161620-1 3.030300-2 8.658010-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.200000+5  1.469700-1 3.636360-2 9.523810-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.250000+5  1.617650-1 2.941180-2 6.302520-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.300000+5  2.096770-1 4.193550-2 4.608290-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.400000+5  1.509430-1 2.264150-2 8.086250-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.600000+5  1.372550-1 2.352940-2 5.602240-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 9.050000+5  1.307190-1 1.568630-2 5.602240-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
