        222          2                                            
Cross section table:
         eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 6.153875+0 1.000000-4 6.153875+0 1.000000-3 6.153874+0
 1.000000-2 6.153875+0 2.530000-2 6.153875+0 1.000000-1 6.153874+0
 1.000000+0 6.153865+0 1.000000+1 6.153772+0 1.000000+2 6.152843+0
 1.000000+3 6.143570+0 1.000000+4 6.052242+0 5.000000+4 5.675138+0
 1.000000+5 5.261726+0 1.500000+5 4.902371+0 2.000000+5 4.588613+0
 2.500000+5 4.314134+0 3.000000+5 4.074345+0 3.500000+5 3.866189+0
 4.000000+5 3.688231+0 4.100000+5 3.656290+0 4.200000+5 3.625608+0
 4.300000+5 3.596223+0 4.400000+5 3.568182+0 4.500000+5 3.541553+0
 4.600000+5 3.516429+0 4.700000+5 3.492934+0 4.800000+5 3.471245+0
 4.900000+5 3.451609+0 5.000000+5 3.434385+0 5.100000+5 3.420108+0
 5.200000+5 3.409594+0 5.300000+5 3.404141+0 5.400000+5 3.405902+0
 5.500000+5 3.418639+0 5.600000+5 3.449344+0 5.700000+5 3.512067+0
 5.800000+5 3.637849+0 5.900000+5 3.903532+0 6.050000+5 5.113460+0
 6.100000+5 6.006056+0 6.150000+5 7.097766+0 6.160000+5 7.294136+0
 6.170000+5 7.465924+0 6.180000+5 7.605080+0 6.190000+5 7.704581+0
 6.200000+5 7.759303+0 6.210000+5 7.766719+0 6.220000+5 7.727230+0
 6.230000+5 7.644063+0 6.240000+5 7.522756+0 6.250000+5 7.370374+0
 6.300000+5 6.398632+0 6.350000+5 5.511314+0 6.400000+5 4.880824+0
 6.450000+5 4.457835+0 6.500000+5 4.172031+0 6.550000+5 3.973725+0
 6.600000+5 3.831916+0 6.650000+5 3.727585+0 6.671530+5 3.691072+0
 6.700000+5 3.648781+0 6.750000+5 3.588124+0 6.800000+5 3.540530+0
 6.850000+5 3.502633+0 6.900000+5 3.472097+0 6.950000+5 3.447265+0
 7.000000+5 3.426942+0 7.050000+5 3.410242+0 7.100000+5 3.396501+0
 7.150000+5 3.385215+0 7.200000+5 3.375997+0 7.250000+5 3.368543+0
 7.300000+5 3.362623+0 7.350000+5 3.358054+0 7.400000+5 3.354704+0
 7.450000+5 3.352472+0 7.500000+5 3.351317+0 7.550000+5 3.351238+0
 7.600000+5 3.352305+0 7.650000+5 3.354693+0 7.700000+5 3.358753+0
 7.750000+5 3.365158+0 7.800000+5 3.375248+0 7.850000+5 3.391832+0
 7.900000+5 3.421448+0 7.950000+5 3.481754+0 8.000000+5 3.631964+0
 8.010000+5 3.687448+0 8.020000+5 3.758645+0 8.030000+5 3.851303+0
 8.040000+5 3.973485+0 8.050000+5 4.136173+0 8.060000+5 4.353152+0
 8.070000+5 4.638003+0 8.080000+5 4.993228+0 8.090000+5 5.385215+0
 8.100000+5 5.715279+0 8.110000+5 5.844631+0 8.120000+5 5.711029+0
 8.130000+5 5.396078+0 8.140000+5 5.032696+0 8.150000+5 4.705132+0
 8.160000+5 4.440077+0 8.170000+5 4.234825+0 8.180000+5 4.077883+0
 8.190000+5 3.957592+0 8.200000+5 3.864529+0 8.250000+5 3.618582+0
 8.300000+5 3.523975+0 8.350000+5 3.479302+0 8.400000+5 3.455398+0
 8.450000+5 3.441598+0 8.600000+5 3.424948+0 8.700000+5 3.421811+0
 8.800000+5 3.420681+0 8.900000+5 3.420101+0 9.000000+5 3.419280+0
 9.500000+5 3.399057+0 1.000000+6 3.340156+0 1.050000+6 3.242470+0
 1.100000+6 3.115852+0 1.150000+6 2.973162+0 1.200000+6 2.825767+0
 1.300000+6 2.543978+0 1.400000+6 2.298570+0 1.500000+6 2.094024+0
 1.600000+6 1.926110+0 1.748830+6 1.737803+0 1.800000+6 1.689316+0
 1.900000+6 1.620999+0 2.000000+6 1.598008+0 2.100000+6 1.635905+0
 2.200000+6 1.746741+0 2.300000+6 1.911272+0 2.400000+6 2.107708+0
 2.500000+6 2.401078+0 2.600000+6 2.742763+0 2.650000+6 3.157569+0
 2.700000+6 3.950667+0 2.710000+6 4.052659+0 2.720000+6 4.099014+0
 2.730000+6 4.088768+0 2.740000+6 4.033916+0 2.750000+6 3.952083+0
 2.760000+6 3.859278+0 2.770000+6 3.766506+0 2.800000+6 3.531600+0
 2.900000+6 3.074146+0 3.000000+6 2.734340+0 3.100000+6 2.420915+0
 3.200000+6 2.191167+0 3.300000+6 2.014762+0 3.400000+6 1.882980+0
 3.500000+6 1.775324+0 3.600000+6 1.693592+0 3.700000+6 1.622154+0
 3.800000+6 1.556269+0 3.900000+6 1.489750+0 4.000000+6 1.415132+0
 4.100000+6 1.296656+0 4.200000+6 1.269366+0 4.300000+6 1.352767+0
 4.400000+6 1.363831+0 4.500000+6 1.352397+0 4.600000+6 1.336255+0
 4.700000+6 1.319662+0 4.800000+6 1.303783+0 4.900000+6 1.289876+0
 5.000000+6 1.277068+0 5.100000+6 1.265123+0 5.200000+6 1.254176+0
 5.300000+6 1.244153+0 5.400000+6 1.234975+0 5.500000+6 1.220000+0
 5.900000+6 1.200000+0 6.250000+6 1.176664+0 6.450000+6 1.163330+0
 6.500000+6 1.159999+0 7.000000+6 1.135000+0 7.100000+6 1.130000+0
 7.500000+6 1.120000+0 8.000000+6 1.140000+0 8.400000+6 1.160000+0
 9.000000+6 1.142860+0 9.100000+6 1.139995+0 9.500000+6 1.149995+0
 1.000000+7 1.140000+0 1.070000+7 1.111995+0 1.100000+7 1.100000+0
 1.160847+7 1.075666+0 1.200000+7 1.058988+0 1.213997+7 1.055246+0
 1.250000+7 1.045889+0 1.300000+7 1.033338+0 1.310000+7 1.031225+0
 1.330000+7 1.027263+0 1.360000+7 1.019734+0 1.400000+7 1.010746+0
 1.426596+7 9.985196-1 1.450000+7 9.878354-1 1.465000+7 9.810208-1
 1.500000+7 9.652492-1 1.520000+7 9.553050-1 1.565000+7 9.329053-1
 1.595000+7 9.181870-1 1.600000+7 9.158035-1 1.630078+7 9.011339-1
 1.650000+7 8.920378-1 1.655000+7 8.927327-1 1.670000+7 8.948395-1
 1.695000+7 8.968804-1 1.700000+7 8.972016-1 1.710000+7 8.992352-1
 1.735000+7 9.044891-1 1.785000+7 9.196748-1 1.800000+7 9.229976-1
 1.820000+7 9.200911-1 1.850000+7 9.163226-1 1.890000+7 9.096752-1
 1.900000+7 9.080798-1 1.950000+7 9.016648-1 2.000000+7 8.955800-1
