          81          2                                            
 
Cross section table:
          eV      barns         eV      barns         eV      barns
  ---------- ---------- ---------- ---------- ---------- ----------
  8.350000+6 0.000000+0 8.380000+6 1.000000-3 8.381250+6 1.058900-3
  8.382421+6 1.117300-3 8.383521+6 1.175000-3 8.384551+6 1.231800-3
  8.386481+6 1.345800-3 8.388171+6 1.454100-3 8.389640+6 1.556000-3
  8.390941+6 1.651000-3 8.392071+6 1.738900-3 8.393062+6 1.819600-3
  8.394800+6 1.970000-3 8.396101+6 2.090900-3 8.398050+6 2.286300-3
  8.400001+6 2.500000-3 8.406221+6 2.653800-3 8.412051+6 2.806700-3
  8.417521+6 2.957900-3 8.422651+6 3.107100-3 8.427461+6 3.253800-3
  8.436501+6 3.547800-3 8.444411+6 3.826700-3 8.451340+6 4.088700-3
  8.457400+6 4.332600-3 8.462722+6 4.558000-3 8.472021+6 4.980900-3
  8.479011+6 5.323600-3 8.484250+6 5.596100-3 8.492121+6 6.031100-3
  8.500000+6 6.500000-3 8.512442+6 6.980500-3 8.523332+6 7.430000-3
  8.532882+6 7.847000-3 8.541241+6 8.231000-3 8.555890+6 8.948800-3
  8.566901+6 9.527901-3 8.575161+6 9.986699-3 8.587570+6 1.071700-2
  8.600000+6 1.150000-2 8.637261+6 1.258600-2 8.665311+6 1.346800-2
  8.686400+6 1.416900-2 8.718140+6 1.529000-2 8.750000+6 1.650000-2
  8.780871+6 1.729100-2 8.835140+6 1.876800-2 8.876071+6 1.995800-2
  8.937820+6 2.188600-2 9.000000+6 2.400000-2 9.061861+6 2.558600-2
  9.108531+6 2.684400-2 9.178991+6 2.884700-2 9.250000+6 3.100000-2
  9.374171+6 3.317400-2 9.500000+6 3.550000-2 9.622611+6 3.756300-2
  9.809490+6 4.088500-2 1.000000+7 4.450000-2 1.025000+7 4.750000-2
  1.050000+7 4.950000-2 1.075000+7 5.070000-2 1.100000+7 5.160000-2
  1.130000+7 5.220000-2 1.150000+7 5.250000-2 1.200000+7 5.250000-2
  1.250000+7 5.220000-2 1.300000+7 5.160000-2 1.350000+7 5.090000-2
  1.400000+7 5.000000-2 1.410000+7 4.970000-2 1.450000+7 4.880000-2
  1.500000+7 4.760000-2 1.550000+7 4.640000-2 1.600000+7 4.500000-2
  1.673320+7 4.284900-2 1.750000+7 4.080000-2 1.795680+7 3.943300-2
  1.866450+7 3.746700-2 1.940000+7 3.560000-2 2.000000+7 3.380000-2
