       1070          2            
                                       
Cross section table:
         eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 4.910200+0 1.386720-5 4.909600+0 1.386720-5 4.909600+0
 1.386720-5 4.909600+0 1.386720-5 4.909600+0 1.773440-5 4.909000+0
 1.773440-5 4.909000+0 1.773440-5 4.909000+0 1.773440-5 4.909000+0
 2.160160-5 4.908400+0 2.160160-5 4.908400+0 2.160160-5 4.908400+0
 2.160160-5 4.908400+0 2.546880-5 4.907800+0 2.546880-5 4.907800+0
 2.546880-5 4.907800+0 2.546880-5 4.907800+0 3.320320-5 4.906590+0
 3.320320-5 4.906590+0 3.320320-5 4.906590+0 3.320320-5 4.906590+0
 4.093750-5 4.905390+0 4.093750-5 4.905390+0 4.093750-5 4.905390+0
 4.093750-5 4.905390+0 5.640630-5 4.902990+0 5.640630-5 4.902990+0
 5.640630-5 4.902990+0 5.640630-5 4.902990+0 7.187500-5 4.900580+0
 7.187500-5 4.900580+0 7.187500-5 4.900580+0 7.187500-5 4.900580+0
 8.734400-5 4.898180+0 8.734400-5 4.898180+0 8.734400-5 4.898180+0
 8.734400-5 4.898180+0 1.028130-4 4.895770+0 1.028130-4 4.895770+0
 1.028130-4 4.895770+0 1.028130-4 4.895770+0 1.337500-4 4.890960+0
 1.337500-4 4.890960+0 1.337500-4 4.890960+0 1.337500-4 4.890960+0
 1.646880-4 4.886150+0 1.646880-4 4.886150+0 1.646880-4 4.886150+0
 1.646880-4 4.886150+0 1.956250-4 4.881340+0 1.956250-4 4.881340+0
 1.956250-4 4.881340+0 1.956250-4 4.881340+0 2.575000-4 4.871730+0
 2.575000-4 4.871730+0 2.575000-4 4.871730+0 2.575000-4 4.871730+0
 3.193750-4 4.862110+0 3.193750-4 4.862110+0 3.193750-4 4.862110+0
 3.193750-4 4.862110+0 3.812500-4 4.852490+0 3.812500-4 4.852490+0
 3.812500-4 4.852490+0 3.812500-4 4.852490+0 5.050000-4 4.833250+0
 5.050000-4 4.833250+0 5.050000-4 4.833250+0 5.050000-4 4.833250+0
 6.287500-4 4.814010+0 6.287500-4 4.814010+0 6.287500-4 4.814010+0
 6.287500-4 4.814010+0 7.525000-4 4.794780+0 7.525000-4 4.794780+0
 7.525000-4 4.794780+0 7.525000-4 4.794780+0 1.000000-3 4.756300+0
 1.379690-3 4.756090+0 1.379690-3 4.756090+0 1.379690-3 4.756090+0
 1.379690-3 4.756090+0 1.759380-3 4.755870+0 1.759380-3 4.755870+0
 1.759380-3 4.755870+0 1.759380-3 4.755870+0 2.139070-3 4.755660+0
 2.139070-3 4.755660+0 2.139070-3 4.755660+0 2.139070-3 4.755660+0
 2.518750-3 4.755440+0 2.518750-3 4.755440+0 2.518750-3 4.755440+0
 2.518750-3 4.755440+0 3.278130-3 4.755020+0 3.278130-3 4.755020+0
 3.278130-3 4.755020+0 3.278130-3 4.755020+0 4.037500-3 4.754590+0
 5.556250-3 4.753730+0 5.556250-3 4.753730+0 5.556250-3 4.753730+0
 5.556250-3 4.753730+0 7.075000-3 4.752880+0 7.075000-3 4.752880+0
 7.075000-3 4.752880+0 7.075000-3 4.752880+0 8.593750-3 4.752020+0
 8.593750-3 4.752020+0 8.593750-3 4.752020+0 8.593750-3 4.752020+0
 1.011250-2 4.751160+0 1.011250-2 4.751160+0 1.011250-2 4.751160+0
 1.011250-2 4.751160+0 1.315000-2 4.749450+0 1.315000-2 4.749450+0
 1.315000-2 4.749450+0 1.315000-2 4.749450+0 1.618750-2 4.747740+0
 1.618750-2 4.747740+0 1.618750-2 4.747740+0 1.618750-2 4.747740+0
 1.922500-2 4.746030+0 1.922500-2 4.746030+0 1.922500-2 4.746030+0
 1.922500-2 4.746030+0 2.530000-2 4.742600+0 3.463750-2 4.742390+0
 3.463750-2 4.742390+0 3.463750-2 4.742390+0 3.463750-2 4.742390+0
 4.397500-2 4.742180+0 4.397500-2 4.742180+0 4.397500-2 4.742180+0
 4.397500-2 4.742180+0 5.331250-2 4.741960+0 5.331250-2 4.741960+0
 5.331250-2 4.741960+0 5.331250-2 4.741960+0 6.265000-2 4.741750+0
 6.265000-2 4.741750+0 6.265000-2 4.741750+0 6.265000-2 4.741750+0
 8.132500-2 4.741320+0 8.132500-2 4.741320+0 8.132500-2 4.741320+0
 8.132500-2 4.741320+0 1.000000-1 4.740900+0 1.386720-1 4.740890+0
 1.773440-1 4.740890+0 2.160160-1 4.740880+0 2.160160-1 4.740880+0
 2.160160-1 4.740880+0 2.160160-1 4.740880+0 2.546880-1 4.740870+0
 2.546880-1 4.740870+0 2.546880-1 4.740870+0 2.546880-1 4.740870+0
 3.320320-1 4.740860+0 3.320320-1 4.740860+0 3.320320-1 4.740860+0
 3.320320-1 4.740860+0 4.093750-1 4.740850+0 4.093750-1 4.740850+0
 4.093750-1 4.740850+0 4.093750-1 4.740850+0 5.640630-1 4.740820+0
 7.187500-1 4.740800+0 8.734400-1 4.740770+0 8.734400-1 4.740770+0
 8.734400-1 4.740770+0 8.734400-1 4.740770+0 1.028130+0 4.740750+0
 1.337500+0 4.740700+0 1.646880+0 4.740650+0 1.956250+0 4.740600+0
 2.575000+0 4.740500+0 3.193750+0 4.740400+0 3.812500+0 4.740300+0
 5.050000+0 4.740100+0 6.287500+0 4.739900+0 7.525000+0 4.739700+0
 1.000000+1 4.739300+0 1.386720+1 4.739280+0 1.773440+1 4.739260+0
 2.160160+1 4.739240+0 2.160160+1 4.739240+0 2.160160+1 4.739240+0
 2.160160+1 4.739240+0 2.546880+1 4.739230+0 2.546880+1 4.739230+0
 2.546880+1 4.739230+0 2.546880+1 4.739230+0 3.320320+1 4.739190+0
 4.093750+1 4.739150+0 5.640630+1 4.739080+0 7.187500+1 4.739010+0
 8.734400+1 4.738930+0 8.734400+1 4.738930+0 8.734400+1 4.738930+0
 8.734400+1 4.738930+0 1.028130+2 4.738860+0 1.337500+2 4.738710+0
 1.646880+2 4.738570+0 1.956250+2 4.738420+0 2.575000+2 4.738120+0
 3.193750+2 4.737830+0 3.812500+2 4.737540+0 5.050000+2 4.736950+0
 6.287500+2 4.736360+0 7.525000+2 4.735770+0 1.000000+3 4.734600+0
 5.000000+3 4.716100+0 1.000000+4 4.699100+0 1.500000+4 4.682100+0
 2.000000+4 4.665300+0 2.500000+4 4.648600+0 3.000000+4 4.631900+0
 3.500000+4 4.615400+0 4.000000+4 4.598900+0 4.500000+4 4.582500+0
 5.000000+4 4.566200+0 7.500000+4 4.486200+0 1.000000+5 4.408400+0
 1.250000+5 4.330100+0 1.300000+5 4.314800+0 1.350000+5 4.301200+0
 1.400000+5 4.289100+0 1.425000+5 4.284800+0 1.450000+5 4.283800+0
 1.475000+5 4.292400+0 1.487500+5 4.307000+0 1.500000+5 4.340000+0
 1.510000+5 4.393700+0 1.520000+5 4.476500+0 1.529000+5 4.520600+0
 1.540000+5 4.454500+0 1.550000+5 4.373100+0 1.560000+5 4.321000+0
 1.580000+5 4.271000+0 1.600000+5 4.248400+0 1.612500+5 4.239300+0
 1.625000+5 4.232000+0 1.650000+5 4.220400+0 1.700000+5 4.202100+0
 1.750000+5 4.186100+0 1.800000+5 4.171200+0 2.000000+5 4.115900+0
 2.250000+5 4.048400+0 2.500000+5 3.982800+0 2.750000+5 3.918200+0
 3.000000+5 3.855100+0 3.250000+5 3.793700+0 3.500000+5 3.733800+0
 3.750000+5 3.675300+0 4.000000+5 3.618200+0 4.250000+5 3.562600+0
 4.500000+5 3.508200+0 4.750000+5 3.455100+0 5.000000+5 3.403300+0
 5.250000+5 3.352700+0 5.500000+5 3.303200+0 5.750000+5 3.254900+0
 6.000000+5 3.207600+0 6.250000+5 3.161500+0 6.500000+5 3.116300+0
 6.750000+5 3.072200+0 7.000000+5 3.029000+0 7.250000+5 2.986800+0
 7.500000+5 2.945400+0 7.750000+5 2.905000+0 8.000000+5 2.865400+0
 8.250000+5 2.826700+0 8.500000+5 2.788800+0 8.750000+5 2.751700+0
 9.000000+5 2.715400+0 9.250000+5 2.679800+0 9.500000+5 2.645000+0
 9.750000+5 2.610800+0 1.000000+6 2.577400+0 1.025000+6 2.544600+0
 1.050000+6 2.512500+0 1.053000+6 2.508700+0 1.075000+6 2.481100+0
 1.100000+6 2.450300+0 1.125000+6 2.420100+0 1.150000+6 2.390500+0
 1.175000+6 2.361500+0 1.200000+6 2.333100+0 1.225000+6 2.305200+0
 1.250000+6 2.277900+0 1.275000+6 2.251100+0 1.300000+6 2.224900+0
 1.325000+6 2.199100+0 1.350000+6 2.173900+0 1.375000+6 2.149200+0
 1.400000+6 2.125000+0 1.425000+6 2.101200+0 1.450000+6 2.078000+0
 1.475000+6 2.055200+0 1.500000+6 2.032800+0 1.525000+6 2.010500+0
 1.550000+6 1.988800+0 1.553000+6 1.986200+0 1.575000+6 1.967400+0
 1.600000+6 1.946500+0 1.625000+6 1.925900+0 1.650000+6 1.905900+0
 1.675000+6 1.885800+0 1.680000+6 1.881900+0 1.700000+6 1.865500+0
 1.710000+6 1.857400+0 1.715000+6 1.853700+0 1.720000+6 1.850700+0
 1.725000+6 1.850100+0 1.730000+6 1.854700+0 1.732000+6 1.858300+0
 1.734000+6 1.861600+0 1.736000+6 1.862500+0 1.738000+6 1.859800+0
 1.740000+6 1.854400+0 1.745000+6 1.840800+0 1.750000+6 1.832700+0
 1.755000+6 1.828000+0 1.760000+6 1.824400+0 1.770000+6 1.818000+0
 1.775000+6 1.814700+0 1.780000+6 1.811500+0 1.790000+6 1.804800+0
 1.800000+6 1.798000+0 1.820000+6 1.784400+0 1.825000+6 1.781000+0
 1.850000+6 1.764400+0 1.875000+6 1.748000+0 1.900000+6 1.731900+0
 1.925000+6 1.716100+0 1.950000+6 1.700600+0 1.975000+6 1.685200+0
