         124          2                                            
 
Cross section table:
          eV      barns         eV      barns         eV      barns
  ---------- ---------- ---------- ---------- ---------- ----------
  3.339000+6 0.000000+0 3.400000+6 1.200000-3 3.500000+6 2.900000-3
  3.750000+6 7.103183-3 4.000000+6 1.350000-2 4.250000+6 1.903124-2
  4.500000+6 2.500000-2 5.000000+6 3.700000-2 5.500000+6 4.864145-2
  5.600000+6 5.102363-2 6.000000+6 6.020000-2 6.500000+6 7.117423-2
  7.000000+6 8.200000-2 7.250000+6 8.730046-2 7.500000+6 9.259276-2
  7.850000+6 9.977260-2 8.000000+6 1.027000-1 8.500000+6 1.118532-1
  9.000000+6 1.200000-1 9.500000+6 1.272547-1 9.700000+6 1.300055-1
  1.000000+7 1.340000-1 1.050000+7 1.398330-1 1.100000+7 1.452787-1
  1.150000+7 1.502780-1 1.175000+7 1.525949-1 1.200000+7 1.547832-1
  1.217000+7 1.561829-1 1.225000+7 1.568118-1 1.250000+7 1.586586-1
  1.300000+7 1.618434-1 1.350000+7 1.644091-1 1.400000+7 1.664243-1
  1.410000+7 1.667670-1 1.450000+7 1.679534-1 1.500000+7 1.690560-1
  1.550000+7 1.700984-1 1.600000+7 1.707540-1 1.650000+7 1.710910-1
  1.700000+7 1.711696-1 1.750000+7 1.710506-1 1.800000+7 1.707607-1
  1.850000+7 1.703035-1 1.900000+7 1.696836-1 1.950000+7 1.689065-1
  2.000000+7 1.679780-1 2.100000+7 1.665638-1 2.200000+7 1.648983-1
  2.300000+7 1.629853-1 2.400000+7 1.608339-1 2.500000+7 1.593771-1
  2.600000+7 1.576816-1 2.700000+7 1.557620-1 2.800000+7 1.536349-1
  2.900000+7 1.513173-1 3.000000+7 1.488273-1 3.100000+7 1.461892-1
  3.200000+7 1.434758-1 3.300000+7 1.407629-1 3.400000+7 1.381097-1
  3.500000+7 1.355616-1 3.600000+7 1.325041-1 3.700000+7 1.296402-1
  3.800000+7 1.269855-1 3.900000+7 1.245498-1 4.000000+7 1.223389-1
  4.200000+7 1.183047-1 4.400000+7 1.146225-1 4.600000+7 1.113194-1
  4.630000+7 1.108553-1 4.800000+7 1.084042-1 5.000000+7 1.058750-1
  5.200000+7 1.036822-1 5.300000+7 1.026708-1 5.400000+7 1.017032-1
  5.600000+7 9.991127-2 5.800000+7 9.833763-2 6.000000+7 9.696000-2
  6.200000+7 9.570599-2 6.400000+7 9.451418-2 6.600000+7 9.338129-2
  6.800000+7 9.230421-2 7.000000+7 9.128000-2 7.200000+7 9.030588-2
  7.400000+7 8.937921-2 7.600000+7 8.849754-2 7.800000+7 8.765853-2
  8.000000+7 8.686000-2 8.200000+7 8.609374-2 8.400000+7 8.535282-2
  8.600000+7 8.463701-2 8.800000+7 8.394598-2 9.000000+7 8.327934-2
  9.200000+7 8.263662-2 9.400000+7 8.201736-2 9.600000+7 8.142104-2
  9.800000+7 8.084710-2 1.000000+8 8.029500-2 1.020000+8 7.969921-2
  1.040000+8 7.905802-2 1.060000+8 7.838199-2 1.080000+8 7.768052-2
  1.100000+8 7.696190-2 1.120000+8 7.623345-2 1.140000+8 7.550156-2
  1.160000+8 7.477184-2 1.180000+8 7.404916-2 1.200000+8 7.333773-2
  1.220000+8 7.264119-2 1.240000+8 7.196267-2 1.260000+8 7.130484-2
  1.280000+8 7.066997-2 1.290000+8 7.036177-2 1.300000+8 7.006000-2
  1.320000+8 6.947025-2 1.340000+8 6.889450-2 1.360000+8 6.833210-2
  1.380000+8 6.778248-2 1.400000+8 6.724508-2 1.420000+8 6.671936-2
  1.440000+8 6.620485-2 1.460000+8 6.570107-2 1.480000+8 6.520760-2
  1.500000+8 6.472402-2                                            
