         132          2                                            
 
Cross section table:
          eV      barns         eV      barns         eV      barns
  ---------- ---------- ---------- ---------- ---------- ----------
  1.000000-5 1.664900+0 1.000000+0 1.664900+0 1.000000+1 1.664900+0
  1.000000+2 1.664900+0 1.000000+3 1.664600+0 5.000000+3 1.663500+0
  1.000000+4 1.662000+0 2.000000+4 1.659200+0 3.000000+4 1.656500+0
  4.000000+4 1.653800+0 5.000000+4 1.651100+0 6.000000+4 1.648500+0
  7.000000+4 1.646000+0 8.000000+4 1.643500+0 9.000000+4 1.641000+0
  1.000000+5 1.638600+0 1.200000+5 1.634000+0 1.400000+5 1.629600+0
  1.600000+5 1.625400+0 1.800000+5 1.621400+0 2.000000+5 1.617600+0
  2.200000+5 1.614000+0 2.400000+5 1.610700+0 2.600000+5 1.607500+0
  2.800000+5 1.604600+0 3.000000+5 1.602000+0 3.200000+5 1.599500+0
  3.400000+5 1.597300+0 3.600000+5 1.595300+0 3.800000+5 1.593500+0
  4.000000+5 1.591900+0 4.200000+5 1.590600+0 4.400000+5 1.589500+0
  4.600000+5 1.588700+0 4.800000+5 1.588000+0 5.000000+5 1.587600+0
  5.200000+5 1.587500+0 5.400000+5 1.587500+0 5.600000+5 1.587900+0
  5.800000+5 1.588400+0 6.000000+5 1.589200+0 6.200000+5 1.590200+0
  6.400000+5 1.591400+0 6.600000+5 1.592900+0 6.800000+5 1.594600+0
  7.000000+5 1.596500+0 7.500000+5 1.602400+0 8.000000+5 1.609700+0
  8.500000+5 1.618400+0 9.000000+5 1.628500+0 9.500000+5 1.640000+0
  1.000000+6 1.652800+0 1.100000+6 1.682300+0 1.200000+6 1.716400+0
  1.300000+6 1.754800+0 1.400000+6 1.796900+0 1.500000+6 1.841900+0
  1.600000+6 1.889200+0 1.700000+6 1.938000+0 1.800000+6 1.987500+0
  1.900000+6 2.036900+0 2.000000+6 2.085600+0 2.100000+6 2.132800+0
  2.200000+6 2.177900+0 2.300000+6 2.220300+0 2.400000+6 2.259700+0
  2.500000+6 2.295600+0 2.600000+6 2.327900+0 2.700000+6 2.356300+0
  2.800000+6 2.380700+0 2.900000+6 2.401200+0 3.000000+6 2.417900+0
  3.100000+6 2.430800+0 3.200000+6 2.440000+0 3.300000+6 2.445900+0
  3.400000+6 2.448500+0 3.500000+6 2.448200+0 3.600000+6 2.445100+0
  3.700000+6 2.439500+0 3.800000+6 2.431600+0 3.900000+6 2.421600+0
  4.000000+6 2.409800+0 4.100000+6 2.396300+0 4.200000+6 2.381400+0
  4.300000+6 2.365200+0 4.400000+6 2.347800+0 4.500000+6 2.329500+0
  4.600000+6 2.310400+0 4.700000+6 2.290600+0 4.800000+6 2.270200+0
  4.900000+6 2.249300+0 5.000000+6 2.228000+0 5.200000+6 2.184600+0
  5.400000+6 2.140400+0 5.600000+6 2.096100+0 5.800000+6 2.051900+0
  6.000000+6 2.008000+0 6.200000+6 1.964800+0 6.400000+6 1.922300+0
  6.600000+6 1.880700+0 6.800000+6 1.840000+0 7.000000+6 1.800300+0
  7.200000+6 1.761700+0 7.400000+6 1.724100+0 7.600000+6 1.687600+0
  7.800000+6 1.652100+0 8.000000+6 1.617700+0 8.200000+6 1.584200+0
  8.400000+6 1.551800+0 8.600000+6 1.520300+0 8.800000+6 1.489900+0
  9.000000+6 1.460400+0 9.200000+6 1.431700+0 9.400000+6 1.404000+0
  9.600000+6 1.377000+0 9.800000+6 1.350900+0 1.000000+7 1.325500+0
  1.050000+7 1.265300+0 1.100000+7 1.209300+0 1.150000+7 1.156600+0
  1.200000+7 1.107300+0 1.250000+7 1.061400+0 1.300000+7 1.018400+0
  1.350000+7 9.781800-1 1.400000+7 9.403100-1 1.450000+7 9.046100-1
  1.500000+7 8.708500-1 1.600000+7 8.084700-1 1.700000+7 7.518000-1
  1.800000+7 6.997300-1 1.900000+7 6.513100-1 2.000000+7 6.058100-1
