        228          2                                            
        
Cross section table:
         eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 6.658937+0 1.000000-4 6.312935+0 1.000000-3 6.204381+0
 1.000000-2 6.169781+0 2.530000-2 6.163910+0 1.000000-1 6.158925+0
 1.000000+0 6.155461+0 1.000000+1 6.154276+0 1.000000+2 6.153003+0
 1.000000+3 6.143621+0 1.000000+4 6.052258+0 2.000000+4 5.957978+0
 4.000000+4 5.769422+0 5.000000+4 5.675146+0 6.000000+4 5.592463+0
 8.000000+4 5.427097+0 1.000000+5 5.261732+0 1.500000+5 4.902376+0
 2.000000+5 4.588617+0 2.500000+5 4.314138+0 3.000000+5 4.074349+0
 3.500000+5 3.866192+0 4.000000+5 3.688234+0 4.100000+5 3.656293+0
 4.200000+5 3.625611+0 4.300000+5 3.596226+0 4.400000+5 3.568185+0
 4.500000+5 3.541556+0 4.600000+5 3.516432+0 4.700000+5 3.492937+0
 4.800000+5 3.471248+0 4.900000+5 3.451612+0 5.000000+5 3.434388+0
 5.100000+5 3.420111+0 5.200000+5 3.409597+0 5.300000+5 3.404144+0
 5.400000+5 3.405905+0 5.500000+5 3.418642+0 5.600000+5 3.449347+0
 5.700000+5 3.512070+0 5.800000+5 3.637852+0 5.900000+5 3.903535+0
 6.000000+5 4.710153+0 6.050000+5 5.113463+0 6.100000+5 6.006059+0
 6.150000+5 7.097769+0 6.160000+5 7.294139+0 6.170000+5 7.465927+0
 6.180000+5 7.605083+0 6.190000+5 7.704584+0 6.200000+5 7.759306+0
 6.210000+5 7.766722+0 6.220000+5 7.727233+0 6.230000+5 7.644066+0
 6.240000+5 7.522759+0 6.250000+5 7.370377+0 6.300000+5 6.398635+0
 6.350000+5 5.511317+0 6.400000+5 4.880827+0 6.450000+5 4.457838+0
 6.500000+5 4.172034+0 6.550000+5 3.973728+0 6.600000+5 3.831919+0
 6.650000+5 3.727588+0 6.671530+5 3.691075+0 6.700000+5 3.648785+0
 6.750000+5 3.588129+0 6.800000+5 3.540537+0 6.850000+5 3.502641+0
 6.900000+5 3.472106+0 6.950000+5 3.447276+0 7.000000+5 3.426954+0
 7.050000+5 3.410255+0 7.100000+5 3.396516+0 7.150000+5 3.385231+0
 7.200000+5 3.376014+0 7.250000+5 3.368562+0 7.300000+5 3.362643+0
 7.350000+5 3.358076+0 7.400000+5 3.354727+0 7.450000+5 3.352504+0
 7.500000+5 3.351357+0 7.550000+5 3.351287+0 7.600000+5 3.352363+0
 7.650000+5 3.354760+0 7.700000+5 3.358828+0 7.750000+5 3.365242+0
 7.800000+5 3.375341+0 7.850000+5 3.391934+0 7.900000+5 3.421559+0
 7.950000+5 3.481873+0 8.000000+5 3.632092+0 8.010000+5 3.687578+0
 8.020000+5 3.758776+0 8.030000+5 3.851436+0 8.040000+5 3.973620+0
 8.050000+5 4.136310+0 8.060000+5 4.353291+0 8.070000+5 4.638144+0
 8.080000+5 4.993371+0 8.090000+5 5.385359+0 8.100000+5 5.715425+0
 8.110000+5 5.844779+0 8.120000+5 5.711178+0 8.130000+5 5.396229+0
 8.140000+5 5.032849+0 8.150000+5 4.705287+0 8.160000+5 4.440233+0
 8.170000+5 4.234983+0 8.180000+5 4.078043+0 8.190000+5 3.957753+0
 8.200000+5 3.864692+0 8.250000+5 3.618754+0 8.300000+5 3.524155+0
 8.350000+5 3.479491+0 8.400000+5 3.455596+0 8.450000+5 3.441805+0
 8.600000+5 3.425180+0 8.700000+5 3.422060+0 8.800000+5 3.420948+0
 8.900000+5 3.420385+0 9.000000+5 3.419582+0 9.500000+5 3.399559+0
 1.000000+6 3.340858+0 1.050000+6 3.243472+0 1.100000+6 3.117554+0
 1.150000+6 2.975964+0 1.200000+6 2.829769+0 1.300000+6 2.551057+0
 1.400000+6 2.309862+0 1.500000+6 2.110026+0 1.600000+6 1.947912+0
 1.748830+6 1.768237+0 1.800000+6 1.722818+0 1.900000+6 1.661068+0
 2.000000+6 1.645210+0 2.100000+6 1.693640+0 2.200000+6 1.816410+0
 2.300000+6 1.994274+0 2.400000+6 2.204043+0 2.500000+6 2.510747+0
 2.600000+6 2.865765+0 2.650000+6 3.285571+0 2.700000+6 4.083669+0
 2.710000+6 4.198011+0 2.720000+6 4.256716+0 2.730000+6 4.258821+0
 2.740000+6 4.216318+0 2.750000+6 4.146835+0 2.760000+6 4.066380+0
 2.770000+6 3.985958+0 2.800000+6 3.788102+0 2.900000+6 3.449148+0
 3.000000+6 3.159342+0 3.100000+6 2.893917+0 3.200000+6 2.690669+0
 3.300000+6 2.540764+0 3.400000+6 2.427482+0 3.500000+6 2.338326+0
 3.600000+6 2.265094+0 3.700000+6 2.202156+0 3.800000+6 2.144771+0
 3.900000+6 2.086752+0 4.000000+6 2.014384+0 4.100000+6 1.898158+0
 4.200000+6 1.873118+0 4.300000+6 1.958769+0 4.400000+6 1.970433+0
 4.500000+6 1.959599+0 4.600000+6 1.944057+0 4.700000+6 1.928064+0
 4.800000+6 1.912785+0 4.900000+6 1.898545+0 5.000000+6 1.885403+0
 5.100000+6 1.873325+0 5.200000+6 1.862245+0 5.300000+6 1.852088+0
 5.400000+6 1.842777+0 5.500000+6 1.827402+0 5.900000+6 1.806602+0
 6.000000+6 1.798516+0 6.250000+6 1.778302+0 6.450000+6 1.762932+0
 6.500000+6 1.759092+0 7.000000+6 1.729002+0 7.100000+6 1.722652+0
 7.500000+6 1.707252+0 8.000000+6 1.720502+0 8.400000+6 1.735902+0
 9.000000+6 1.711862+0 9.100000+6 1.707672+0 9.500000+6 1.712372+0
 1.000000+7 1.695752+0 1.070000+7 1.658472+0 1.100000+7 1.641752+0
 1.160847+7 1.608392+0 1.200000+7 1.589042+0 1.213997+7 1.584232+0
 1.250000+7 1.574172+0 1.300000+7 1.560872+0 1.310000+7 1.558512+0
 1.330000+7 1.553192+0 1.360000+7 1.540772+0 1.400000+7 1.527532+0
 1.426596+7 1.512582+0 1.450000+7 1.499502+0 1.465000+7 1.491132+0
 1.500000+7 1.471662+0 1.520000+7 1.459582+0 1.565000+7 1.432462+0
 1.595000+7 1.414322+0 1.600000+7 1.411302+0 1.630078+7 1.390282+0
 1.650000+7 1.376452+0 1.655000+7 1.375972+0 1.670000+7 1.374862+0
 1.695000+7 1.373832+0 1.700000+7 1.373992+0 1.710000+7 1.375812+0
 1.735000+7 1.379042+0 1.785000+7 1.383782+0 1.800000+7 1.385032+0
 1.820000+7 1.378952+0 1.850000+7 1.369432+0 1.890000+7 1.354342+0
 1.900000+7 1.350482+0 1.950000+7 1.332632+0 2.000000+7 1.314782+0
