        178          2           
                                         
Cross section table:
         eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 3.420300+0 1.000000-4 3.403000+0 2.530000-2 3.395510+0
 1.000000+2 3.395010+0 1.000000+3 3.394900+0 2.000000+3 3.394800+0
 3.000000+3 3.394400+0 4.000000+3 3.389400+0 5.000000+3 3.385000+0
 1.000000+4 3.367000+0 2.000000+4 3.342000+0 3.000000+4 3.321000+0
 4.000000+4 3.302000+0 5.000000+4 3.285000+0 6.000000+4 3.270000+0
 7.000000+4 3.256000+0 8.000000+4 3.243000+0 9.000000+4 3.231000+0
 1.000000+5 3.220000+0 1.200000+5 3.198639+0 1.400000+5 3.178000+0
 1.600000+5 3.158637+0 1.800000+5 3.140086+0 2.000000+5 3.122000+0
 2.250000+5 3.100835+0 2.500000+5 3.082000+0 2.750000+5 3.065152+0
 3.000000+5 3.050000+0 3.500000+5 3.027605+0 4.000000+5 3.012000+0
 4.500000+5 3.000072+0 5.000000+5 2.989000+0 5.500000+5 2.977206+0
 6.000000+5 2.966000+0 6.500000+5 2.955386+0 7.000000+5 2.945000+0
 7.500000+5 2.933815+0 8.000000+5 2.922000+0 8.500000+5 2.909998+0
 9.000000+5 2.898000+0 9.500000+5 2.885451+0 1.000000+6 2.872500+0
 1.200000+6 2.817788+0 1.500000+6 2.730000+0 1.750000+6 2.640601+0
 1.950000+6 2.559964+0 2.000000+6 2.540000+0 2.250000+6 2.441136+0
 2.450000+6 2.363900+0 2.500000+6 2.345000+0 2.750000+6 2.253771+0
 3.000000+6 2.160000+0 3.270000+6 2.057480+0 3.339000+6 2.032599+0
 3.400000+6 2.011146+0 3.500000+6 1.977154+0 3.750000+6 1.899008+0
 4.000000+6 1.831000+0 4.250000+6 1.771687+0 4.500000+6 1.718132+0
 5.000000+6 1.622000+0 5.500000+6 1.536180+0 5.600000+6 1.520210+0
 6.000000+6 1.460000+0 6.500000+6 1.391905+0 7.000000+6 1.330000+0
 7.250000+6 1.300655+0 7.500000+6 1.272263+0 7.850000+6 1.234943+0
 8.000000+6 1.220000+0 8.500000+6 1.176098+0 9.000000+6 1.135000+0
 9.500000+6 1.092028+0 9.700000+6 1.074945+0 1.000000+7 1.050000+0
 1.050000+7 1.010885+0 1.100000+7 9.750000-1 1.150000+7 9.422861-1
 1.175000+7 9.268916-1 1.200000+7 9.120000-1 1.217000+7 9.019417-1
 1.225000+7 8.971821-1 1.250000+7 8.824361-1 1.300000+7 8.550000-1
 1.350000+7 8.316662-1 1.400000+7 8.100000-1 1.410000+7 8.056580-1
 1.417000+7 8.026281-1 1.450000+7 7.886359-1 1.500000+7 7.680000-1
 1.550000+7 7.472654-1 1.600000+7 7.280000-1 1.650000+7 7.110390-1
 1.700000+7 6.950000-1 1.750000+7 6.798413-1 1.800000+7 6.650000-1
 1.850000+7 6.497894-1 1.900000+7 6.350000-1 1.950000+7 6.211920-1
 2.000000+7 6.080000-1 2.100000+7 5.825844-1 2.200000+7 5.583366-1
 2.300000+7 5.353139-1 2.400000+7 5.135304-1 2.500000+7 4.929712-1
 2.600000+7 4.736018-1 2.700000+7 4.553757-1 2.800000+7 4.382388-1
 2.900000+7 4.221333-1 3.000000+7 4.070000-1 3.100000+7 3.927914-1
 3.200000+7 3.794348-1 3.300000+7 3.668440-1 3.400000+7 3.549448-1
 3.500000+7 3.436731-1 3.600000+7 3.329731-1 3.700000+7 3.227962-1
 3.800000+7 3.130994-1 3.900000+7 3.038452-1 4.000000+7 2.950000-1
 4.200000+7 2.785799-1 4.400000+7 2.637580-1 4.600000+7 2.503189-1
 4.630000+7 2.484109-1 4.800000+7 2.380842-1 5.000000+7 2.269039-1
 5.200000+7 2.166519-1 5.300000+7 2.118399-1 5.400000+7 2.072208-1
 5.600000+7 1.985192-1 5.800000+7 1.904682-1 6.000000+7 1.830000-1
 6.200000+7 1.760383-1 6.400000+7 1.695242-1 6.600000+7 1.634241-1
 6.800000+7 1.577070-1 7.000000+7 1.523445-1 7.200000+7 1.473102-1
 7.400000+7 1.425799-1 7.600000+7 1.381315-1 7.800000+7 1.339444-1
 8.000000+7 1.300000-1 8.200000+7 1.263812-1 8.400000+7 1.231359-1
 8.600000+7 1.202026-1 8.800000+7 1.175306-1 9.000000+7 1.150769-1
 9.200000+7 1.128056-1 9.400000+7 1.106863-1 9.600000+7 1.086931-1
 9.800000+7 1.068039-1 1.000000+8 1.050000-1 1.020000+8 1.032164-1
 1.040000+8 1.014366-1 1.060000+8 9.967910-2 1.080000+8 9.795916-2
 1.100000+8 9.628944-2 1.120000+8 9.468023-2 1.140000+8 9.313984-2
 1.160000+8 9.167490-2 1.180000+8 9.029062-2 1.200000+8 8.899062-2
 1.220000+8 8.776258-2 1.240000+8 8.659440-2 1.260000+8 8.547992-2
 1.280000+8 8.441360-2 1.290000+8 8.389694-2 1.300000+8 8.339050-2
 1.320000+8 8.240616-2 1.340000+8 8.145657-2 1.360000+8 8.053814-2
 1.380000+8 7.964762-2 1.400000+8 7.878206-2 1.420000+8 7.794134-2
 1.440000+8 7.713634-2 1.460000+8 7.636876-2 1.480000+8 7.563858-2
 1.500000+8 7.494568-2   
